trillion US$,what,qualifier,notes / story / interesting fact,category,data year,source,source URL
9.0,Total external debt of low and middle income countries,,,owing,2022,source: UK parliament,"https://commonslibrary.parliament.uk/research-briefings/cbp-9830/#:~:text=In%202022%20external%20debts%20(borrowed,to%20reach%20US%241.1%20trillion."
17.3,US Household debt ,"mortgages, car loans etc",,owing,2023,source: Federal Reserve Bank of NY,"https://www.newyorkfed.org/microeconomics/hhdc#:~:text=Total%20household%20debt%20rose%20by,loan%20balances%20to%20%241.6%20trillion."
1.6,-Student debt,,,owing,2018,source: Federal Reserve,https://www.newyorkfed.org/newsevents/news/research/2022/20220510
34.0,US government debt,,2023,owing,2023,source: US Treasury,"https://fiscaldata.treasury.gov/americas-finance-guide/national-debt/#:~:text=Over%20the%20past%20100%20years,to%20pay%20down%20its%20debt."
,,,,,,,
12.2,All billionaires,total wealth,"Total combined wealth of all the world's 2,640 billionaires",hoarding,2023,source: Forbes,https://www.forbes.com/billionaires/
2.0,-China's,,$2 Trillion total wealth of 562 billionaires,hoarding,2023,source: Forbes,https://www.forbes.com/billionaires/
4.5,-America's,,"Collective wealth of 735 billionaires - including top five: Elon Musk, Jeff Bezos, Bill Gates, Mark Zuckerberg, Warren Buffett and Larry Ellison",hoarding,2023,source: Forbes,https://www.forbes.com/billionaires/
14.0,Estimated cost of reparations to black Americans for slavery,,inflation adjusted,helping,2020,source: Roosevelt Institute (PDF),https://rooseveltinstitute.org/wp-content/uploads/2020/07/RI_Report_ResurrectingthePromiseof40Acres_202005.pdf
40.0,Funds de-invested from fossil fuel companies,"1,550 investors","Almost 1,550 institutional investors have collectively pledged to divest this amount from fossil fuels",helping,2023,source: Harvard Business Review,https://hbr.org/2022/11/how-fossil-fuel-divestment-falls-short
15.0,Cost of the 2007/08 financial crisis,,2007-2012,losing,2012,source: Wall Street Journal,http://blogs.wsj.com/economics/2012/10/01/total-global-losses-from-financial-crisis-15-trillion/
12.4,Coronvirus pandemic cost to the world,,,spending,2023,source: Reuters,https://www.reuters.com/business/imf-sees-cost-covid-pandemic-rising-beyond-125-trillion-estimate-2022-01-20/
16.5,For the world to meet Paris climate change targets by 2030,renewable energy install costs,"$16.5tn. 2015. Replacing fossil fuels with renewable energy & improving efficiency of appliances & manufacturing, by 2030. ",spending,2015,source: Bloomberg,https://www.bloomberg.com/news/articles/2015-12-13/climate-deal-requires-16-5-trillion-investment-to-cut-pollution
30.0,"""Medicare For All"" - universal healthcare for everyone in the USA",10 year estimated cost,,helping,2023,source: CNBC,https://www.cnbc.com/2023/05/17/sanders-pushes-medicare-for-all-to-end-totally-broken-health-system.html
3.0,-per year,,$1.8 Trillion per year,helping,2019,source: CNBC,https://www.cnbc.com/2023/05/17/sanders-pushes-medicare-for-all-to-end-totally-broken-health-system.html
42.0,Wealth hidden offshore by the rich,,Inflation adjusted. Estimates range from $21-32tn. (in 2012),hoarding,2012,source: Reuters,https://www.reuters.com/article/idUSBRE86L03V/
,,,,,,,
,,,,,,,
73.0,Cost of Global Green Deal to eliminate 99.7% of carbon emissions by 2050,"Stanford study on how 143 nations can reach 100% clean, renewable energy","Would pay for itself over time by energy sales,
only requires 0.17% of the 143 countries' total land area for new infrastructure",winning,2020,source: Stanford Uni,https://phys.org/news/2019-12-country-green-stanford-paths-countries.html
20.0,-yearly savings in health & climate costs,,,,2020,source: Stanford Uni,https://phys.org/news/2017-08-countries-powered-percent-solar-energy.html
96.5,World GDP,,,earning,2023,source: Statista,"https://www.statista.com/statistics/268173/countries-with-the-largest-gross-domestic-product-gdp/#:~:text=Global%20gross%20domestic%20product%20amounts,fifth%20of%20this%20figure%20alone."
,,,,,,,
208.3,Total wealth of the 1%,Anyone with $1million+ in assets,"Cash & assets owned by the richest 1% of people worldwide, 59.4 million of them. (page 22 of the report)",hoarding,2023,source: Credit Suisse,https://www.credit-suisse.com/about-us/en/reports-research/global-wealth-report.html
2.7,Crypto ,Jun 2024,Estimated market value,hoarding,2024,source: Statista,https://www.statista.com/statistics/730876/cryptocurrency-maket-value/
